target,target_display,model,MAE,MSE,RMSE,NMAE,WAPE,R2,Bias_ME,train_time_seconds,predict_time_seconds
daily_revenue,Doanh thu ngày,Random Forest Regressor,3044.1308505559637,14960285.983305078,3867.8528905977123,0.377637153055001,0.37763715305500106,-0.03177000564206511,210.30800387044036,0.6191842555999756,0.08269572257995605
daily_revenue,Doanh thu ngày,Extra Trees Regressor,3060.269899502039,15187247.38252806,3897.0819060584367,0.37963926951983634,0.37963926951983634,-0.0474229125729988,105.72764096908126,0.3586006164550781,0.06371688842773438
daily_revenue,Doanh thu ngày,Ridge Regression,3071.974168608942,14600658.53016903,3821.080806547937,0.38109123301322995,0.3810912330132299,-0.006967483834307009,-64.67457917392936,0.012197256088256836,0.00596308708190918
daily_revenue,Doanh thu ngày,Lasso Regression,3072.1077045103434,14602057.052196838,3821.2638030103126,0.3811077986998287,0.3811077986998287,-0.007063936073397281,-64.63121468637529,0.013903379440307617,0.006005525588989258
daily_revenue,Doanh thu ngày,Linear Regression,3072.1084435716816,14602075.881340291,3821.2662667419936,0.38110789038347614,0.38110789038347614,-0.00706523466792075,-64.62700864620751,0.012744665145874023,0.0
daily_revenue,Doanh thu ngày,Gradient Boosting Regressor,3334.607534853807,17612231.733940966,4196.692952068446,0.41367199960801954,0.4136719996080196,-0.21466745059395298,-28.810675595203257,0.3944416046142578,0.0017719268798828125
daily_revenue,Doanh thu ngày,HistGradientBoosting Regressor,3437.7922168018017,18434882.045325216,4293.586152079077,0.42647249059959763,0.42647249059959763,-0.2714033924981101,417.10682045047065,2.970590114593506,0.013994216918945312
daily_revenue,Doanh thu ngày,Moving Average 7 days,3453.5860411622284,17606710.122557197,4196.035047822789,0.42843178051193265,0.4284317805119327,-0.21428664015925003,-34.41901937046013,0.0,0.0
daily_orders,Số lượng đơn hàng ngày,Extra Trees Regressor,2.483800030817182,9.580513152857648,3.0952404030798073,0.3046657002457666,0.3046657002457666,-0.004662337252522075,-0.1006027509820133,0.3321046829223633,0.0674288272857666
daily_orders,Số lượng đơn hàng ngày,Random Forest Regressor,2.5172401078685662,9.84680168079933,3.1379613893098384,0.3087674976387638,0.3087674976387639,-0.032586734473941004,-0.02829411604077984,0.5381464958190918,0.07315969467163086
daily_orders,Số lượng đơn hàng ngày,Lasso Regression,2.520990192795717,9.653671141743338,3.107035748385161,0.3092274872660027,0.30922748726600274,-0.01233406369659762,-0.3626173817633062,0.0075531005859375,0.002017498016357422
daily_orders,Số lượng đơn hàng ngày,Ridge Regression,2.525056342551179,9.695114153672563,3.113697826326852,0.3097262457599159,0.3097262457599159,-0.016679993039138363,-0.4045151554780392,0.009201288223266602,0.0011413097381591797
daily_orders,Số lượng đơn hàng ngày,Linear Regression,2.5251219224625006,9.695946794950837,3.113831529635288,0.30973428986546264,0.30973428986546264,-0.016767308125436697,-0.40522475168038535,0.008309125900268555,0.005729198455810547
daily_orders,Số lượng đơn hàng ngày,HistGradientBoosting Regressor,2.6824063393775206,10.89922070113345,3.301396780323966,0.3290269730213591,0.3290269730213591,-0.1429488555699816,-0.2147213173994248,0.6358919143676758,0.009226322174072266
daily_orders,Số lượng đơn hàng ngày,Moving Average 7 days,2.690072639225182,11.318920788654443,3.3643603832904767,0.32996732996732997,0.32996732996732997,-0.18696078521783766,-0.009685230024213034,0.0,0.0
daily_orders,Số lượng đơn hàng ngày,Gradient Boosting Regressor,2.7548873485697714,12.258826769810035,3.5012607400492235,0.3379175749804917,0.33791757498049174,-0.28552420502210385,0.5554287315012653,0.31259679794311523,0.002735137939453125
